B1,B2,B3,B4,B5,B6,B7,vis,white,class
-100,243,70,35,32,190,152,213,19608.666666666668,0
-100,77,12,27,-9,212,90,-11,5344.222222222223,0
-100,77,12,27,-9,212,90,-11,5344.222222222223,0
-100,243,70,35,32,190,152,213,19608.666666666668,0
-33,395,102,32,26,201,149,464,31917.55555555556,0
-89,370,137,78,25,241,108,418,35116.22222222222,0
-89,370,137,78,25,241,108,418,35116.22222222222,0
-79,315,118,66,48,176,159,354,25872.666666666668,0
-79,315,118,66,48,176,159,354,25872.666666666668,0
-100,147,54,49,7,231,99,101,10374.888888888889,0
-100,-48,-60,-5,13,181,127,-208,494.22222222222223,0
-33,395,102,32,26,201,149,464,31917.55555555556,0
-33,395,102,32,26,201,149,464,31917.55555555556,0
-49,348,103,53,-1,229,99,402,26748.666666666668,0
-49,348,103,53,-1,229,99,402,26748.666666666668,0
-100,219,62,41,34,205,159,181,16961.55555555556,0
-100,219,62,41,34,205,159,181,16961.55555555556,0
-100,147,54,49,7,231,99,101,10374.888888888889,0
-100,-10,-35,8,15,164,127,-145,1438.8888888888887,0
-100,244,32,2,-5,225,109,176,20078.222222222223,0
-100,244,32,2,-5,225,109,176,20078.222222222223,0
-100,289,53,8,33,209,164,242,25602.888888888887,0
-100,289,53,8,33,209,164,242,25602.888888888887,0
-100,273,41,10,6,233,114,214,23648.222222222223,0
-100,273,41,10,6,233,114,214,23648.222222222223,0
-100,159,2,-2,22,202,169,61,11348.222222222219,0
-100,64,9,30,5,218,93,-27,4644.666666666667,0
-100,64,9,30,5,218,93,-27,4644.666666666667,0
-100,114,31,19,21,187,144,45,7760.666666666667,0
-100,243,40,5,57,216,188,183,19828.666666666668,0
-100,243,40,5,57,216,188,183,19828.666666666668,0
-100,230,29,3,6,240,127,159,18438.0,0
-100,230,29,3,6,240,127,159,18438.0,0
-100,264,50,22,44,214,175,214,22310.222222222223,0
-100,264,50,22,44,214,175,214,22310.222222222223,0
-100,197,25,7,7,245,140,122,14824.22222222222,0
-100,197,25,7,7,245,140,122,14824.22222222222,0
-100,159,2,-2,22,202,169,61,11348.222222222219,0
-100,9,-48,-11,-18,216,121,-139,1981.5555555555554,0
-100,9,-48,-11,-18,216,121,-139,1981.5555555555554,0
-100,55,-28,-18,17,198,146,-73,4010.888888888889,0
-100,55,-28,-18,17,198,146,-73,4010.888888888889,0
-100,209,61,22,-5,208,105,170,15922.88888888889,0
-100,209,61,22,-5,208,105,170,15922.88888888889,0
-58,262,81,18,19,190,152,285,17164.666666666668,0
-23,307,77,20,22,239,120,361,19088.88888888889,0
-100,213,34,7,10,248,146,147,16440.666666666668,0
-100,243,40,5,57,216,188,183,19828.666666666668,0
-100,243,40,5,57,216,188,183,19828.666666666668,0
-100,188,16,9,1,247,137,104,13998.22222222222,0
-100,188,16,9,1,247,137,104,13998.22222222222,0
-100,203,31,7,37,222,192,134,15394.88888888889,0
-100,203,31,7,37,222,192,134,15394.88888888889,0
-100,197,25,7,7,245,140,122,14824.22222222222,0
-100,147,-1,2,24,204,172,46,10301.555555555555,0
-100,147,-1,2,24,204,172,46,10301.555555555555,0
-100,67,-35,-19,0,235,130,-68,4724.222222222222,0
-100,67,-35,-19,0,235,130,-68,4724.222222222222,0
-100,55,-28,-18,17,198,146,-73,4010.888888888889,0
-100,55,-28,-18,17,198,146,-73,4010.888888888889,0
-100,95,-8,-17,-10,216,114,-13,6344.222222222222,0
-100,95,-8,-17,-10,216,114,-13,6344.222222222222,0
-100,210,34,-11,12,209,161,144,16114.666666666666,0
-100,210,34,-11,12,209,161,144,16114.666666666666,0
-63,249,77,38,2,233,115,263,16280.88888888889,0
-100,93,16,15,27,212,162,9,6292.666666666667,0
-100,93,16,15,27,212,162,9,6292.666666666667,0
-100,115,7,18,-8,233,118,22,7704.222222222222,0
-100,115,7,18,-8,233,118,22,7704.222222222222,0
-92,155,17,15,10,208,149,80,10214.88888888889,0
-92,155,17,15,10,208,149,80,10214.88888888889,0
-100,282,51,21,17,247,153,233,24676.222222222223,0
18,366,87,14,29,232,173,471,22634.0,0
-100,249,41,8,58,217,183,190,20549.55555555556,0
-39,267,62,11,14,239,139,290,16206.88888888889,0
-100,213,34,7,10,248,146,147,16440.666666666668,0
-100,237,43,0,33,219,171,180,19072.666666666668,0
5,343,93,18,17,238,123,441,20498.666666666668,0
-100,276,53,10,2,255,143,229,23834.888888888887,0
32,352,91,16,46,225,149,475,19333.55555555556,0
-100,203,31,7,37,222,192,134,15394.88888888889,0
-100,203,31,7,37,222,192,134,15394.88888888889,0
-100,208,19,10,7,250,143,127,16082.888888888889,0
